기관명,기관유형,주무부처,임직원수,신규채용인원,직원평균보수,임원평균연봉,소재지,채용률,임원연봉_직원보수_비율
(사)남북교류협력지원협회,기타공공기관,통일부,40,12,60861,,서울특별시,0.3,
(재)예술경영지원센터,기타공공기관,문화체육관광부,73,4,48913,114338,서울특별시,0.0547945205479452,2.337578966736859
(재)우체국금융개발원,준정부기관(위탁집행형),과학기술정보통신부,851,40,57780,189767,서울특별시,0.0470035252643948,3.284302526825891
(재)우체국물류지원단,준정부기관(위탁집행형),과학기술정보통신부,1480.5,66,58397,188447,서울특별시,0.044579533941236,3.226997962224087
(재)우체국시설관리단,기타공공기관,과학기술정보통신부,2279,4,68208,198674,서울특별시,0.0017551557700745,2.912766830870279
(재)일제강제동원피해자지원재단,기타공공기관,행정안전부,52,5,54225,100729,서울특별시,0.0961538461538461,1.8576118026740436
(재)축산환경관리원,기타공공기관,농림축산식품부,48,4,68622,150068,세종특별자치시,0.0833333333333333,2.186878843519571
(재)한국보건의료정보원,기타공공기관,보건복지부,119,9,60513,203430,서울특별시,0.0756302521008403,3.3617569778394727
(재)한국우편사업진흥원,기타공공기관,과학기술정보통신부,504,14,60845,207581,서울특별시,0.0277777777777777,3.411636124578848
(재)한국통계정보원,기타공공기관,국가데이터처,170,0,57779,147200,대전광역시,0,2.547638415341214
(주)강원랜드,공기업(시장형),산업통상부,3689,191,81514,157376,강원도,0.0517755489292491,1.9306622175331845
(주)공영홈쇼핑,기타공공기관,중소벤처기업부,382,14,73683,168640,서울특별시,0.0366492146596858,2.288723314740171
(주)한국가스기술공사,공기업(준시장형),산업통상부,2358,182,77183,158685,대전광역시,0.0771840542832909,2.055957918194421
88관광개발(주),기타공공기관,국가보훈부,42,2,69409,146943,경기도,0.0476190476190476,2.1170597472950194
KDI국제정책대학원,기타공공기관,국무조정실,163,5,106224,,세종특별자치시,0.0306748466257668,
가축위생방역지원본부,기타공공기관,농림축산식품부,1287,1,68498,132955,세종특별자치시,0.0007770007770007,1.9410055768051624
강릉원주대학교치과병원,기타공공기관,교육부,207,39,46490,99373,강원도,0.1884057971014492,2.1375134437513443
강원대학교병원,기타공공기관,교육부,1905,114,59253,129554,강원도,0.0598425196850393,2.186454694277083
건강보험심사평가원,준정부기관(위탁집행형),보건복지부,3957,171.75,71130,182799,강원도,0.0434040940106141,2.569928300295234
건설근로자공제회,기타공공기관,고용노동부,222.5,6,86484,200660,서울특별시,0.0269662921348314,2.320197955691226
건축공간연구원,기타공공기관,국무조정실,111,1,72924,165535,세종특별자치시,0.009009009009009,2.2699659919916626
게임물관리위원회,기타공공기관,문화체육관광부,101,2,58729,129249,부산광역시,0.0198019801980198,2.200769636806348
경북대학교병원,기타공공기관,교육부,5539,343,76361,135927,대구광역시,0.0619245351146416,1.780057882950721
경북대학교치과병원,기타공공기관,교육부,220,38,65600,122319,대구광역시,0.1727272727272727,1.8646189024390245
경상국립대학교병원,기타공공기관,교육부,4116,207,64525,152737,경상남도,0.0502915451895043,2.367098024021697
경제인문사회연구회,기타공공기관,국무조정실,96,2,63741,216018,세종특별자치시,0.0208333333333333,3.3889960935661505
공간정보품질관리원,기타공공기관,국토교통부,83,2,62099,154150,서울특별시,0.0240963855421686,2.4823266075138086
공무원연금공단,준정부기관(기금관리형),인사혁신처,693,64,73388,167526,제주특별자치도,0.0923520923520923,2.282743772823895
과학기술사업화진흥원,기타공공기관,과학기술정보통신부,52,5,68322,181502,서울특별시,0.0961538461538461,2.656567430695823
과학기술정책연구원,기타공공기관,국무조정실,162,6,73726,154938,세종특별자치시,0.037037037037037,2.101538127661883
국가과학기술인력개발원,기타공공기관,과학기술정보통신부,121,7,74562,,충청북도,0.0578512396694214,
국가생명윤리정책원,기타공공기관,보건복지부,77,11,52628,156460,서울특별시,0.1428571428571428,2.9729421600668844
국가수리과학연구소,기타공공기관,과학기술정보통신부,61,1,80712,,대전광역시,0.0163934426229508,
국가유산진흥원,기타공공기관,국가유산청,395,8,60571,152090,서울특별시,0.020253164556962,2.5109375773885194
국가철도공단,준정부기관(위탁집행형),국토교통부,2210,155,77036,160006,대전광역시,0.0701357466063348,2.0770289215431745
국가평생교육진흥원,기타공공기관,교육부,174,1,75373,207581,서울특별시,0.0057471264367816,2.7540498587027185
국립공원공단,준정부기관(위탁집행형),기후에너지환경부,2651,119,61473,186139,강원도,0.0448887212372689,3.027979763473395
